rating,review_title,review_text,date,location
3,,"4.3★ 3,839",,
5,Just wow!,Good Product,, Palanpur
4,Nice,,, Bulandshahr
5,Great product,"Excellent phone. Received today with 1 day delivery at no extra cost. I upgraded from Redmi Note 8 pro to this one. Apps.and settings transfer was seamless, fast and easy. No heating while charging and playing videos simultaneously. Battery backup is good. So far performance is quite satisfactory. I will update after few weeks of usage",, Noida
4,awesome,The budgeted phone and camera quality is awesome.. Highly,, Lakhimpur
5,Wonderful,"One of the best Note series from Redmi 14 pro , Value for money , Dolby Atmos is excellent, fast charging, Over all very good 👍",, Trivandrum
5,Awesome,Product is too good...overall performance is good.....best part is the camera quality and the sound,, Vasai Virar
5,Terrific,"Got the phone within 1 day, that was too good, excellent phone fast charging, good camera quality. Worth the price",, Bail Hongal
4,,Good phone. Rate should be,, Rohtak
4,Good choice,Products is good.. Design is good,, Hyderabad
5,Must buy,Must buy! Awesome mobile phone note 14 pro,, Rohtas District
,,,,
5,Simply awesome,I have upgraded to this phone from RMi note 9 pro max The camera is good with details and all stuff but its close to natural with a yellow tint it's not that much eye pleasing for many but for me its okok Front camera is average but both camera have good stability Display is Actually verygood with 120hz best content viewing experience Battery is ok i have a minimum usage with no gaming at all it lasts for 1 day easily Performance for day to day tasks it's best all the power you needed is,, Alappuzha District
5,Awesome,Best phone byy camera quality is the best and processor is very best,, Deoria
5,Terrific,Gift to my brother I love redmi (mi) I buy redmi serise phone form redmi 7 pro. Really very very good phone,, Barmer
5,Terrific,Average phone... Value of money,, Jehanabad
5,Best in the market,Best in the market! Very very good phone after pro+ bought pro version,, Hapur District
4,Really Nice,,, Kochi
4,Nice,"Nice Product, Upgrading from Redmi Note 11 Pro",, New Delhi
5,Terrific,Great phone 📱 but need to improve in camera s,, Chennai
5,Excellent,Nice look ☺️,, Riico Industrial Area Neemrana
5,Worth every penny,Ovoraly good mobile on this budget,, Puri
3,Does the job,,, Bhagalpur
5,Terrific,Overall good...should have improved the night photo a little bit more... Gaming on this device is great...battery 100/100...display 10/10...perfomance 9/10.... Design,, Kalaburgi
5,Worth every penny,,, New Town
5,Mind-blowing purchase,Maragathavel c,, Hosur
5,Great product,Camera quality is very good and sound quality best,, English Bazar
4,Wonderful,Good product 👍,, Byasanagar
4,Good choice,,, Limkheda
5,Terrific,,, Rewa
5,Best in the market,"Best in the market! I have been a redmi user for the last 8 years and, redmi never disappoints, this phone is also very nice and in-hand feel is very premium, it's not too heavy however it feels like a very premium phone, camera quality is decent, performance is also very good, battery can be improved but fine.",, Indore Division
5,Best in the market,Best in the market! I love this mobile,, Vadodara
5,Great product,,, Sirsa
5,Super,,, Gurugram
5,Simply awesome,,, Bhadrari Kothagudem District
4,Worth the money,"Great phone but lots of bloatware on the phone, GUI needs to be much refined",, Konkan Division
5,Fabulous,Fabulous! everything is good 🇳🇵 i am from nepal,, Purba Champaran District
3,Nice,Nice but battery🔋 didn't charge faster after 69% Manjunatha K N,, Bengaluru
5,Must buy,Must buy! Good mobile and nice camera and display thnx flipkart Sorry to say for flipkart but dilevery was given late 6 days taken to dilevery mobile,, Gauribidanur
5,Awesome,Camera 4.4 Battery 5.5 Display 5.5 Performance very good high recommended Phone,, Mughalsarai
2,,Average mobile but price so high,, Jodhpur
4,,Camera 5/4 Battery 5/3 Display 5/5 Design 5/4 Performance 5/4 Over all ok value for money,, Salem
4,Nice,Excellent Product and Worth the Money on this,, Bharuch
3,,I think this mobile make,, New Delhi
4,Really Nice,Best phone under 25k to purchase with the unique design,, Tekanpur
5,Wonderful,"Very Slim and sexy look, its terrific mobile, i love Saravanan R",, Salem
5,Terrific,All features are superb except the front camera. I was using a Redmi note 5 pro and trust me it's camera was far better than this 14 pro. The back camera is awesome,, Gurugram
5,Best in the market,Best in the,, Lucknow
5,Wonderful,Amazing product in pocket friendly range,, Thane
5,Great product,Superb Phone for this budget,, Bengaluru
5,Mind-blowing purchase,Nice product good luck this phone,, Sitamarhi District
